Sender City,Receiving IP,Forwarding IP,Sender Timestamp,Receiver Timestamp,Forwarding Timestamp,Latency (ms),Processing Delay (ms),Dropped Packets,Filtered Packets
city4,192.168.1.11,192.168.1.6,1747938010397,1747938011433,1747938011439,1036,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010399,1747938011440,1747938011446,1041,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010402,1747938011446,1747938011453,1044,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010404,1747938011453,1747938011460,1049,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010406,1747938011460,1747938011466,1054,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010408,1747938011467,1747938011474,1059,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010410,1747938011474,1747938011480,1064,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010412,1747938011480,1747938011487,1068,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010414,1747938011487,1747938011494,1073,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010417,1747938011494,1747938011501,1077,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010419,1747938011501,1747938011507,1082,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010421,1747938011507,1747938011514,1086,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010423,1747938011514,1747938011521,1091,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010425,1747938011521,1747938011528,1096,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010427,1747938011528,1747938011535,1101,7,0,0
city4,192.168.1.11,192.168.1.6,1747938010429,1747938011535,1747938011541,1106,6,0,0
city4,192.168.1.11,192.168.1.6,1747938010431,1747938011541,1747938011547,1110,6,0,0
